scientificName,State,TerrestrialEcoregions,,,,,,,,,,,,,,,,,,,,
Euphornia caducifolia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Heteropogon contortus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Holigarna grahamii,Assam,NA,,,,,,,,,,,,,,,,,,,,
Knema attenuata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Litsea glutinosa,Assam,NA,,,,,,,,,,,,,,,,,,,,
Memecylon edule,Assam,NA,,,,,,,,,,,,,,,,,,,,
Olea dioica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Phragmites karka,Assam,NA,,,,,,,,,,,,,,,,,,,,
Pinus insularis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,Assam,NA,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,Assam,NA,,,,,,,,,,,,,,,,,,,,
Quercus leucotrichophora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Saccharum spontaneum,Assam,NA,,,,,,,,,,,,,,,,,,,,
Schima wallichii,Assam,NA,,,,,,,,,,,,,,,,,,,,
Shorea assamica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,Assam,NA,,,,,,,,,,,,,,,,,,,,
Tectona grandis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia arjuna,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia bellirica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Trema orientalis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Vetiveria zizanoides,Assam,NA,,,,,,,,,,,,,,,,,,,,
Vetiveria zizanoides,Assam,NA,,,,,,,,,,,,,,,,,,,,
Ziziphus nummularia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Ziziphus xylopyrus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Garuga pinnata.,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Mallotus philippensis,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Saccharum spontaneum,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Syzigium cumini,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Trewia nudiflora,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Tripidium bengalense,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Capparis zeylanica,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Gardenia,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Grewia,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Gymnosporia,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Prosopis cineraria,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Salvadora,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
