Ficus benghalensis,Lower Gangetic Plains Moist Deciduous Forests
Ficus racemosa,Lower Gangetic Plains Moist Deciduous Forests
Garuga pinnata,Lower Gangetic Plains Moist Deciduous Forests
Gmelina arborea,Lower Gangetic Plains Moist Deciduous Forests
Grewia asiatica,Lower Gangetic Plains Moist Deciduous Forests
Lagerstroemia hypoleuca,Lower Gangetic Plains Moist Deciduous Forests
Lannea coromandelica,Lower Gangetic Plains Moist Deciduous Forests
Litsea glutinosa,Lower Gangetic Plains Moist Deciduous Forests
Litsea salicifolia,Lower Gangetic Plains Moist Deciduous Forests
Macaranga peltata,Lower Gangetic Plains Moist Deciduous Forests
Machilus glaucescens,Lower Gangetic Plains Moist Deciduous Forests
Magnolia pterocarpa,Lower Gangetic Plains Moist Deciduous Forests
Pterospermum acerifolium,Lower Gangetic Plains Moist Deciduous Forests
Pterygota alata,Lower Gangetic Plains Moist Deciduous Forests
Schima wallichii,Lower Gangetic Plains Moist Deciduous Forests
Shorea robusta,Lower Gangetic Plains Moist Deciduous Forests
Spondias pinnata,Lower Gangetic Plains Moist Deciduous Forests
Strychnos nux-vomica,Lower Gangetic Plains Moist Deciduous Forests
Syzygium formosum,Lower Gangetic Plains Moist Deciduous Forests
Terminalia arjuna,Lower Gangetic Plains Moist Deciduous Forests
Terminalia chebula,Lower Gangetic Plains Moist Deciduous Forests
Terminalia myriocarpa,Lower Gangetic Plains Moist Deciduous Forests
Tetrameles nudiflora,Lower Gangetic Plains Moist Deciduous Forests
Toona ciliata,Lower Gangetic Plains Moist Deciduous Forests
Actinodaphne malabaricum,Malabar Coast Moist Forests
Adina cordifolia,Malabar Coast Moist Forests
Anacolosa densiflora,Malabar Coast Moist Forests
Antidesma acidum,Malabar Coast Moist Forests
Aporosa lindleyana,Malabar Coast Moist Forests
Bauhinia malabarica,Malabar Coast Moist Forests
Bombax ceiba,Malabar Coast Moist Forests
Bridelia airy-shawii,Malabar Coast Moist Forests
Careya arborea,Malabar Coast Moist Forests
Casearia ovata,Malabar Coast Moist Forests
Diospyros candolleana,Malabar Coast Moist Forests
Diospyros oocarpa,Malabar Coast Moist Forests
Dipterocarpus indicus,Malabar Coast Moist Forests
Ficus amplissima,Malabar Coast Moist Forests
Ficus drupacea,Malabar Coast Moist Forests
Ficus racemosa,Malabar Coast Moist Forests
Ficus religiosa,Malabar Coast Moist Forests
Holigarna spp.,Malabar Coast Moist Forests
Hopea parviflora,Malabar Coast Moist Forests
humboldtia brunonis,Malabar Coast Moist Forests
Hydnocarpus laurifolia,Malabar Coast Moist Forests
Kingiodendron pinnatum,Malabar Coast Moist Forests
Lagerstroemia hirsuta,Malabar Coast Moist Forests
Macaranga peltata,Malabar Coast Moist Forests
Mangifera indica,Malabar Coast Moist Forests
Melia dubia,Malabar Coast Moist Forests
Meyna laxiflora,Malabar Coast Moist Forests
Miliusa tomentosa,Malabar Coast Moist Forests
Neolamarckia cadamba,Malabar Coast Moist Forests
